ID ,currency,notional,start.date,maturity.date,strike,type,standard
1163,EUR,30500000,23/11/2017,23/11/2027,0.00815,payer,TRUE
1162,EUR,4000000,23/11/2017,23/11/2067,0.01478,receiver,TRUE
1161,EUR,16000000,23/11/2017,23/11/2047,0.014905,receiver,TRUE
1160,EUR,21000000,23/11/2017,23/11/2032,0.012005,receiver,TRUE
1159,EUR,6400000,09/11/2017,09/11/2047,0.01533,receiver,TRUE
1158,EUR,14400000,09/11/2017,09/11/2024,0.00456,receiver,TRUE
1157,EUR,27900000,09/11/2017,09/11/2022,0.00183,payer,TRUE
1156,EUR,53100000,09/11/2017,09/11/2020,-0.00087,receiver,TRUE
1155,EUR,5100000,09/11/2017,09/11/2057,0.01578,payer,TRUE
1154,EUR,5500000,09/11/2017,09/11/2037,0.01436,payer,TRUE
1153,EUR,20000000,09/11/2017,09/11/2024,0.00446,receiver,TRUE
1152,EUR,31900000,09/11/2017,09/11/2022,0.00193,payer,TRUE
1151,EUR,18200000,09/11/2017,09/11/2020,-0.00097,receiver,TRUE
1150,EUR,5500000,26/10/2017,26/10/2037,0.01499,payer,TRUE
1149,EUR,26500000,26/10/2017,26/10/2027,0.00915,payer,TRUE
1148,EUR,14300000,26/10/2017,26/10/2024,0.0054,receiver,TRUE
1147,EUR,13900000,26/10/2017,26/10/2022,0.00254,payer,TRUE
1146,EUR,4000000,26/10/2017,26/10/2047,0.01585,receiver,TRUE
1145,EUR,18300000,26/10/2017,26/10/2032,0.013035,receiver,TRUE
1144,EUR,10200000,26/10/2017,26/10/2027,0.00925,payer,TRUE
